Manufacturer,Generation,Product Name,GPU URL,GPU Chip,Chip URL,Released,Year,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,Architecture,Foundry,Process Size,Transistors,Density,Die Size,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,WDDM,Tensor Cores,RT Cores,Shading Units,TMUs,ROPs,SM Count,L0 Cache,L1 Cache,L2 Cache,L3 Cache,Max. TDP,Pixel Rate,Texture Rate,FP16 (half),FP32 (float),FP64 (double),Abritary Gen,Gen Year
AMD,Northern Islands (HD 6200),Radeon HD 6230,https://www.techpowerup.com/gpu-specs/radeon-hd-6230.c2070,Park,https://www.techpowerup.com/gpu-specs/amd-park.g866,"Jul 2nd, 2011",2011,PCIe 2.0 x16,"512 MB, DDR2, 64 bit",650 MHz,667 MHz,80 / 8 / 4,TeraScale 2,TSMC,40 nm,292 million,4.9M / mm²,59 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,80,8,4,,,8 KB per CU,128 KB,,19 W,2.600 GPixel/s,5.200 GTexel/s,,104.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6200),Radeon HD 6250,https://www.techpowerup.com/gpu-specs/radeon-hd-6250.c2066,Cedar,https://www.techpowerup.com/gpu-specs/amd-cedar.g113,"Jan 31st, 2011",2011,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,TeraScale 2,TSMC,40 nm,292 million,4.9M / mm²,59 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,80,8,4,,,8 KB per CU,128 KB,,25 W,2.600 GPixel/s,5.200 GTexel/s,,104.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6200),Radeon HD 6290,https://www.techpowerup.com/gpu-specs/radeon-hd-6290.c2069,Cedar,https://www.techpowerup.com/gpu-specs/amd-cedar.g113,"Dec 4th, 2011",2011,PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,800 MHz,80 / 8 / 4,TeraScale 2,TSMC,40 nm,292 million,4.9M / mm²,59 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,80,8,4,,,8 KB per CU,128 KB,,25 W,2.600 GPixel/s,5.200 GTexel/s,,104.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6300),Radeon HD 6350,https://www.techpowerup.com/gpu-specs/radeon-hd-6350.c302,Cedar,https://www.techpowerup.com/gpu-specs/amd-cedar.g113,"Feb 7th, 2011",2011,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,TeraScale 2,TSMC,40 nm,292 million,4.9M / mm²,59 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,80,8,4,,,8 KB per CU,128 KB,,25 W,2.600 GPixel/s,5.200 GTexel/s,,104.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6300),Radeon HD 6390,https://www.techpowerup.com/gpu-specs/radeon-hd-6390.c2068,Redwood,https://www.techpowerup.com/gpu-specs/amd-redwood.g193,"Jul 4th, 2011",2011,PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320 / 16 / 8,TeraScale 2,TSMC,40 nm,627 million,6.0M / mm²,104 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,400,20,8,,,8 KB per CU,256 KB,,39 W,4.400 GPixel/s,8.800 GTexel/s,,352.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6400),Radeon HD 6450 OEM,https://www.techpowerup.com/gpu-specs/radeon-hd-6450-oem.c1416,Caicos,https://www.techpowerup.com/gpu-specs/amd-caicos.g114,"Feb 7th, 2011",2011,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160 / 8 / 4,TeraScale 2,TSMC,40 nm,370 million,5.5M / mm²,67 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,160,8,4,,,8 KB per CU,128 KB,,35 W,2.500 GPixel/s,5.000 GTexel/s,,200.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6400),Radeon HD 6450,https://www.techpowerup.com/gpu-specs/radeon-hd-6450.c402,Caicos,https://www.techpowerup.com/gpu-specs/amd-caicos.g114,"Apr 7th, 2011",2011,PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,500 MHz,160 / 8 / 4,TeraScale 2,TSMC,40 nm,370 million,5.5M / mm²,67 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,160,8,4,,,8 KB per CU,128 KB,,35 W,2.500 GPixel/s,5.000 GTexel/s,,200.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6400),Radeon HD 6490,https://www.techpowerup.com/gpu-specs/radeon-hd-6490.c2475,Redwood,https://www.techpowerup.com/gpu-specs/amd-redwood.g193,"Jul 4th, 2011",2011,PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",550 MHz,500 MHz,320 / 16 / 8,TeraScale 2,TSMC,40 nm,627 million,6.0M / mm²,104 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,400,20,8,,,8 KB per CU,256 KB,,39 W,4.400 GPixel/s,8.800 GTexel/s,,352.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6500),Radeon HD 6510,https://www.techpowerup.com/gpu-specs/radeon-hd-6510.c2395,Turks,https://www.techpowerup.com/gpu-specs/amd-turks.g92,"May 14th, 2011",2011,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,667 MHz,320 / 16 / 8,TeraScale 2,TSMC,40 nm,716 million,6.1M / mm²,118 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,480,24,8,,,8 KB per CU,256 KB,,75 W,5.200 GPixel/s,10.40 GTexel/s,,416.0 GFLOPS,,1,2009
AMD,Northern Islands (HD 6500),Radeon HD 6510,https://www.techpowerup.com/gpu-specs/radeon-hd-6510.c2067,Redwood,https://www.techpowerup.com/gpu-specs/amd-redwood.g193,"May 14th, 2011",2011,PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,400 / 20 / 8,TeraScale 2,TSMC,40 nm,627 million,6.0M / mm²,104 mm²,11.2 (11_0),4.4,1.2,,5.0,1.3,,,400,20,8,,,8 KB per CU,256 KB,,39 W,5.200 GPixel/s,13.00 GTexel/s,,520.0 GFLOPS,,1,2009
