,Manufacturer,Foundry,Architecture,Arbitrary Gen,Gen Year,FP32 (float) in GFLOPS,Memory Size (MB),Memory Type,Bus Width (bits),GPU clock (MHz),Memory clock (MHz),Process Size (nm),Transistors (millions),Density (M/mm²),Die Size (mm²),Max. TDP (W),Pixel Rate (GPixel/s),Texture Rate (GTexel/s),L2 Cache (KB),Shading Units
0,AMD,TSMC,TeraScale 2,1,2009,104.0,512.0,DDR2,64,650.0,667.0,40.0,292.0,4.9,59.0,19.0,2.6,5.2,128.0,80
1,AMD,TSMC,TeraScale 2,1,2009,104.0,512.0,GDDR3,64,650.0,500.0,40.0,292.0,4.9,59.0,25.0,2.6,5.2,128.0,80
2,AMD,TSMC,TeraScale 2,1,2009,104.0,1024.0,GDDR3,64,650.0,800.0,40.0,292.0,4.9,59.0,25.0,2.6,5.2,128.0,80
3,AMD,TSMC,TeraScale 2,1,2009,104.0,512.0,GDDR3,64,650.0,500.0,40.0,292.0,4.9,59.0,25.0,2.6,5.2,128.0,80
4,AMD,TSMC,TeraScale 2,1,2009,352.0,1024.0,DDR2,128,550.0,500.0,40.0,627.0,6.0,104.0,39.0,4.4,8.8,256.0,400
5,AMD,TSMC,TeraScale 2,1,2009,200.0,512.0,GDDR3,64,625.0,533.0,40.0,370.0,5.5,67.0,35.0,2.5,5.0,128.0,160
6,AMD,TSMC,TeraScale 2,1,2009,200.0,512.0,GDDR3,64,625.0,500.0,40.0,370.0,5.5,67.0,35.0,2.5,5.0,128.0,160
7,AMD,TSMC,TeraScale 2,1,2009,352.0,1024.0,DDR2,128,550.0,500.0,40.0,627.0,6.0,104.0,39.0,4.4,8.8,256.0,400
8,AMD,TSMC,TeraScale 2,1,2009,416.0,1024.0,GDDR3,128,650.0,667.0,40.0,716.0,6.1,118.0,75.0,5.2,10.4,256.0,480
9,AMD,TSMC,TeraScale 2,1,2009,520.0,1024.0,GDDR3,128,650.0,500.0,40.0,627.0,6.0,104.0,39.0,5.2,13.0,256.0,400
10,AMD,TSMC,TeraScale 2,1,2009,520.0,1024.0,GDDR3,128,650.0,600.0,40.0,627.0,6.0,104.0,39.0,5.2,13.0,256.0,400
11,AMD,TSMC,TeraScale 2,1,2009,624.0,1024.0,GDDR3,128,650.0,500.0,40.0,716.0,6.1,118.0,44.0,5.2,15.6,256.0,480
12,AMD,TSMC,TeraScale 2,1,2009,624.0,1024.0,GDDR3,128,650.0,900.0,40.0,716.0,6.1,118.0,75.0,5.2,15.6,256.0,480
13,AMD,TSMC,TeraScale 2,1,2009,624.0,2048.0,GDDR5,128,650.0,1000.0,40.0,716.0,6.1,118.0,75.0,5.2,15.6,256.0,480
14,AMD,TSMC,TeraScale 2,1,2009,520.0,1024.0,GDDR3,128,650.0,800.0,40.0,627.0,6.0,104.0,39.0,5.2,13.0,256.0,400
15,AMD,TSMC,TeraScale 2,1,2009,768.0,1024.0,GDDR5,128,800.0,1000.0,40.0,716.0,6.1,118.0,75.0,6.4,19.2,256.0,480
16,AMD,TSMC,TeraScale 2,1,2009,1008.0,1024.0,GDDR5,128,700.0,1150.0,40.0,1040.0,6.3,166.0,108.0,11.2,25.2,256.0,800
17,AMD,TSMC,TeraScale 2,1,2009,1008.0,2048.0,GDDR3,128,700.0,667.0,40.0,1040.0,6.3,166.0,108.0,11.2,25.2,256.0,800
18,AMD,TSMC,TeraScale 2,1,2009,1360.0,1024.0,GDDR5,128,850.0,1200.0,40.0,1040.0,6.3,166.0,108.0,13.6,34.0,256.0,800
19,AMD,TSMC,TeraScale 2,1,2009,1344.0,1024.0,GDDR5,256,840.0,1050.0,40.0,1700.0,6.7,255.0,300.0,13.44,33.6,512.0,1120
20,AMD,TSMC,TeraScale 2,1,2009,2088.0,1024.0,GDDR5,256,725.0,1000.0,40.0,2154.0,6.4,334.0,225.0,23.2,52.2,512.0,1600
21,AMD,TSMC,TeraScale 2,1,2009,1488.0,1024.0,GDDR5,256,775.0,1000.0,40.0,1700.0,6.7,255.0,300.0,24.8,37.2,512.0,1120
22,AMD,TSMC,TeraScale 2,1,2009,2720.0,1024.0,GDDR5,256,850.0,1050.0,40.0,2154.0,6.4,334.0,225.0,27.2,68.0,512.0,1600
23,AMD,TSMC,TeraScale 2,1,2009,2016.0,1024.0,GDDR5,256,900.0,1050.0,40.0,1700.0,6.7,255.0,300.0,28.8,50.4,512.0,1120
24,AMD,TSMC,TeraScale 2,1,2009,1536.0,2048.0,GDDR5,256,800.0,1050.0,40.0,1700.0,6.7,255.0,300.0,25.6,38.4,512.0,1120
25,AMD,TSMC,TeraScale 2,1,2009,2016.0,1024.0,GDDR5,256,900.0,1050.0,40.0,1700.0,6.7,255.0,300.0,28.8,50.4,512.0,1120
26,AMD,TSMC,TeraScale 3,2,2010,1920.0,1024.0,GDDR5,256,750.0,1200.0,40.0,2640.0,6.8,389.0,250.0,24.0,60.0,512.0,1536
27,AMD,TSMC,TeraScale 3,2,2010,2253.0,2048.0,GDDR5,256,800.0,1250.0,40.0,2640.0,6.8,389.0,250.0,25.6,70.4,512.0,1536
28,AMD,TSMC,TeraScale 3,2,2010,2703.0,2048.0,GDDR5,256,880.0,1375.0,40.0,2640.0,6.8,389.0,250.0,28.16,84.48,512.0,1536
29,AMD,TSMC,TeraScale 3,2,2010,2550.0,2048.0,GDDR5,256,830.0,1250.0,40.0,2640.0,6.8,389.0,375.0,26.56,79.68,512.0,1536
30,AMD,TSMC,TeraScale 3,2,2010,2703.0,2048.0,GDDR5,256,880.0,1375.0,40.0,2640.0,6.8,389.0,375.0,28.16,84.48,512.0,1536
31,AMD,TSMC,TeraScale 2,1,2009,104.0,512.0,GDDR3,64,650.0,500.0,40.0,292.0,4.9,59.0,25.0,2.6,5.2,128.0,80
32,AMD,TSMC,TeraScale 2,1,2009,104.0,512.0,GDDR3,64,650.0,800.0,40.0,292.0,4.9,59.0,25.0,2.6,5.2,128.0,80
33,AMD,TSMC,TeraScale 2,1,2009,200.0,512.0,GDDR3,64,625.0,533.0,40.0,370.0,5.5,67.0,35.0,2.5,5.0,128.0,160
34,AMD,TSMC,TeraScale 2,1,2009,240.0,1024.0,GDDR5,64,750.0,900.0,40.0,370.0,5.5,67.0,35.0,3.0,6.0,128.0,160
35,AMD,TSMC,TeraScale 2,1,2009,416.0,1024.0,GDDR3,128,650.0,667.0,40.0,716.0,6.1,118.0,75.0,2.6,10.4,256.0,480
36,AMD,TSMC,TeraScale 2,1,2009,520.0,1024.0,GDDR3,128,650.0,800.0,40.0,627.0,6.0,104.0,39.0,5.2,13.0,256.0,400
37,AMD,TSMC,TeraScale 2,1,2009,624.0,1024.0,GDDR3,128,650.0,800.0,40.0,716.0,6.1,118.0,75.0,5.2,15.6,256.0,480
38,AMD,TSMC,TeraScale 2,1,2009,768.0,512.0,GDDR5,128,800.0,1000.0,40.0,716.0,6.1,118.0,75.0,6.4,19.2,256.0,480
39,AMD,TSMC,TeraScale 2,1,2009,1344.0,1024.0,GDDR5,256,840.0,1050.0,40.0,1700.0,6.7,255.0,300.0,26.88,33.6,512.0,1120
40,AMD,TSMC,GCN 1.0,3,2011,614.4,1024.0,GDDR5,128,800.0,1125.0,28.0,1500.0,12.2,123.0,80.0,6.4,19.2,256.0,640
41,AMD,TSMC,GCN 1.0,3,2011,819.2,1024.0,GDDR5,128,800.0,1125.0,28.0,1500.0,12.2,123.0,80.0,12.8,25.6,256.0,640
42,AMD,TSMC,GCN 1.0,3,2011,1280.0,1024.0,GDDR5,128,1000.0,1125.0,28.0,1500.0,12.2,123.0,80.0,16.0,40.0,256.0,640
43,AMD,TSMC,GCN 2.0,4,2013,1792.0,1024.0,GDDR5,128,1000.0,1500.0,28.0,2080.0,13.0,160.0,115.0,16.0,56.0,256.0,896
