Manufacturer,Generation,Product Name,GPU URL,GPU Chip,Chip URL,Released,Bus,Memory,GPU clock,Memory clock,Architecture,Foundry,Process Size,Transistors,Density,Die Size,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,WDDM,Tensor Cores,RT Cores,Shading Units,TMUs,ROPs,SM Count,L0 Cache,L1 Cache,L2 Cache,L3 Cache,Max. TDP,Pixel Rate,Texture Rate,FP16 (half),FP32 (float),FP64 (double)
Nvidia,GeForce 100,GeForce G100 OEM,https://www.techpowerup.com/gpu-specs/geforce-g100-oem.c639,G98S,https://www.techpowerup.com/gpu-specs/nvidia-g98s.g146,"Mar 10th, 2009",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,400 MHz,Tesla,UMC,65 nm,210 million,2.4M / mm²,86 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,8,4,4,1,,,16 KB,,40 W,2.160 GPixel/s,2.160 GTexel/s,,20.80 GFLOPS,
Nvidia,GeForce 100,GeForce GT 120 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-120-oem.c638,G96C,https://www.techpowerup.com/gpu-specs/nvidia-g96c.g145,"Mar 10th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",738 MHz,504 MHz,Tesla,TSMC,55 nm,314 million,2.6M / mm²,121 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,32,16,8,4,,,32 KB,,50 W,5.904 GPixel/s,11.81 GTexel/s,,117.5 GFLOPS,
Nvidia,GeForce 100,GeForce GT 120 Mac Edition,https://www.techpowerup.com/gpu-specs/geforce-gt-120-mac-edition.c2237,G96C,https://www.techpowerup.com/gpu-specs/nvidia-g96c.g145,"Jan 20th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,800 MHz,Tesla,TSMC,55 nm,314 million,2.6M / mm²,121 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,32,16,8,4,,,32 KB,,50 W,4.400 GPixel/s,8.800 GTexel/s,,89.60 GFLOPS,
Nvidia,GeForce 100,GeForce GT 130 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-130-oem.c640,G94B,https://www.techpowerup.com/gpu-specs/nvidia-g94b.g144,"Mar 10th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 192 bit",500 MHz,500 MHz,Tesla,TSMC,55 nm,505 million,2.6M / mm²,196 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,64,32,16,8,,,64 KB,,105 W,6.000 GPixel/s,12.00 GTexel/s,,120.0 GFLOPS,
Nvidia,GeForce 100,GeForce GT 130 Mac Edition,https://www.techpowerup.com/gpu-specs/geforce-gt-130-mac-edition.c2238,G94B,https://www.techpowerup.com/gpu-specs/nvidia-g94b.g144,"Dec 12th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 192 bit",600 MHz,792 MHz,Tesla,TSMC,55 nm,505 million,2.6M / mm²,196 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,64,32,16,8,,,64 KB,,105 W,7.200 GPixel/s,14.40 GTexel/s,,144.0 GFLOPS,
Nvidia,GeForce 100,GeForce GT 140 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-140-oem.c642,G94B,https://www.techpowerup.com/gpu-specs/nvidia-g94b.g144,"Mar 10th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",650 MHz,900 MHz,Tesla,TSMC,55 nm,505 million,2.6M / mm²,196 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,64,32,16,8,,,64 KB,,105 W,10.40 GPixel/s,20.80 GTexel/s,,208.0 GFLOPS,
Nvidia,GeForce 100,GeForce GTS 150 OEM,https://www.techpowerup.com/gpu-specs/geforce-gts-150-oem.c637,G92,https://www.techpowerup.com/gpu-specs/nvidia-g92.g58,"Mar 10th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",738 MHz,1000 MHz,Tesla,TSMC,65 nm,754 million,2.3M / mm²,324 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,640 W,11.81 GPixel/s,47.23 GTexel/s,,470.0 GFLOPS,
Nvidia,GeForce 200,GeForce 205 OEM,https://www.techpowerup.com/gpu-specs/geforce-205-oem.c611,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Nov 26th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",589 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,
Nvidia,GeForce 200,GeForce 210 PCI,https://www.techpowerup.com/gpu-specs/geforce-210-pci.c612,GT216,https://www.techpowerup.com/gpu-specs/nvidia-gt216.g141,"Oct 12th, 2009",PCI,"512 MB, DDR2, 64 bit",475 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,486 million,4.9M / mm²,100 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,48,16,8,6,,,64 KB,,58 W,1.900 GPixel/s,3.800 GTexel/s,,35.20 GFLOPS,
Nvidia,GeForce 200,GeForce 210 OEM,https://www.techpowerup.com/gpu-specs/geforce-210-oem.c613,GT216,https://www.techpowerup.com/gpu-specs/nvidia-gt216.g141,"Sep 4th, 2009",PCIe 2.0 x16,"1024 MB, DDR2, 64 bit",475 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,486 million,4.9M / mm²,100 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,48,16,8,6,,,64 KB,,58 W,1.900 GPixel/s,3.800 GTexel/s,,35.20 GFLOPS,
