,Manufacturer,Foundry,Architecture,Abritary Gen,Gen Year,FP32 (float) in GFLOPS,Memory Size (MB),Memory Type,Bus Width (bits),GPU clock (MHz),Memory clock (MHz),Process Size (nm),Transistors (millions),Density (M/mm²),Die Size (mm²),Max. TDP (W),Pixel Rate (GPixel/s),Texture Rate (GTexel/s),L2 Cache (KB),Shading Units
0,Nvidia,UMC,Tesla,1,2006,20.8,256.0,DDR2,64,540.0,400.0,65.0,210.0,2.4,86.0,40.0,2.16,2.16,16.0,8
1,Nvidia,TSMC,Tesla,1,2006,117.5,512.0,DDR2,128,738.0,504.0,55.0,314.0,2.6,121.0,50.0,5.904,11.81,32.0,32
2,Nvidia,TSMC,Tesla,1,2006,89.6,512.0,GDDR3,128,550.0,800.0,55.0,314.0,2.6,121.0,50.0,4.4,8.8,32.0,32
3,Nvidia,TSMC,Tesla,1,2006,120.0,512.0,DDR2,192,500.0,500.0,55.0,505.0,2.6,196.0,105.0,6.0,12.0,64.0,64
4,Nvidia,TSMC,Tesla,1,2006,144.0,512.0,GDDR3,192,600.0,792.0,55.0,505.0,2.6,196.0,105.0,7.2,14.4,64.0,64
5,Nvidia,TSMC,Tesla,1,2006,208.0,1024.0,GDDR3,256,650.0,900.0,55.0,505.0,2.6,196.0,105.0,10.4,20.8,64.0,64
6,Nvidia,TSMC,Tesla,1,2006,470.0,1024.0,GDDR3,256,738.0,1000.0,65.0,754.0,2.3,324.0,640.0,11.81,47.23,64.0,128
7,Nvidia,TSMC,Tesla 2.0,2,2007,44.86,512.0,DDR2,64,589.0,400.0,40.0,260.0,4.6,57.0,50.0,2.356,4.712,32.0,16
8,Nvidia,TSMC,Tesla 2.0,2,2007,35.2,512.0,DDR2,64,475.0,400.0,40.0,486.0,4.9,100.0,58.0,1.9,3.8,64.0,48
9,Nvidia,TSMC,Tesla 2.0,2,2007,35.2,1024.0,DDR2,64,475.0,400.0,40.0,486.0,4.9,100.0,58.0,1.9,3.8,64.0,48
10,Nvidia,TSMC,Tesla 2.0,2,2007,39.36,512.0,DDR3,64,520.0,400.0,40.0,260.0,4.6,57.0,50.0,2.08,4.16,32.0,16
11,Nvidia,TSMC,Tesla 2.0,2,2007,39.36,1024.0,DDR3,64,520.0,400.0,40.0,260.0,4.6,57.0,50.0,2.08,4.16,32.0,16
12,Nvidia,TSMC,Tesla,1,2006,43.2,512.0,DDR2,64,550.0,504.0,55.0,314.0,2.6,121.0,50.0,2.2,4.4,32.0,32
13,Nvidia,TSMC,Tesla 2.0,2,2007,44.86,128.0,DDR2,64,589.0,400.0,40.0,260.0,4.6,57.0,50.0,2.356,4.712,32.0,16
14,Nvidia,TSMC,Tesla 2.0,2,2007,97.15,512.0,GDDR3,128,506.0,700.0,40.0,727.0,5.0,144.0,75.0,4.048,8.096,64.0,96
15,Nvidia,TSMC,Tesla 2.0,2,2007,127.7,512.0,DDR2,128,615.0,1000.0,40.0,486.0,4.9,100.0,58.0,4.92,9.84,64.0,48
16,Nvidia,TSMC,Tesla,1,2006,144.0,1024.0,GDDR3,128,600.0,700.0,65.0,505.0,2.1,240.0,95.0,4.8,14.4,64.0,64
17,Nvidia,TSMC,Tesla,1,2006,240.0,1536.0,DDR2,192,500.0,500.0,55.0,754.0,2.9,260.0,150.0,6.0,24.0,64.0,128
18,Nvidia,TSMC,Tesla,1,2006,156.0,512.0,GDDR3,256,650.0,900.0,55.0,505.0,2.6,196.0,105.0,10.4,15.6,64.0,64
19,Nvidia,TSMC,Tesla,1,2006,362.9,1024.0,GDDR3,256,675.0,1100.0,55.0,754.0,2.9,260.0,150.0,10.8,37.8,64.0,128
20,Nvidia,TSMC,Tesla 2.0,2,2007,257.3,1024.0,GDDR5,128,550.0,850.0,40.0,727.0,5.0,144.0,75.0,4.4,17.6,64.0,96
21,Nvidia,TSMC,Tesla,1,2006,414.7,1024.0,GDDR3,256,675.0,1008.0,55.0,754.0,2.9,260.0,150.0,10.8,43.2,64.0,128
22,Nvidia,TSMC,Tesla,1,2006,387.1,1024.0,GDDR3,256,702.0,1000.0,55.0,754.0,2.9,260.0,150.0,11.23,44.93,64.0,128
23,Nvidia,TSMC,Tesla 2.0,2,2007,414.7,1792.0,GDDR3,448,518.0,1008.0,65.0,1400.0,2.4,576.0,236.0,14.5,33.15,256.0,240
24,Nvidia,TSMC,Tesla 2.0,2,2007,476.9,896.0,GDDR3,448,576.0,999.0,65.0,1400.0,2.4,576.0,236.0,16.13,36.86,256.0,240
25,Nvidia,TSMC,Tesla 2.0,2,2007,476.9,896.0,GDDR3,448,576.0,999.0,55.0,1400.0,3.0,470.0,800.0,16.13,36.86,256.0,240
26,Nvidia,TSMC,Tesla 2.0,2,2007,536.5,896.0,GDDR3,448,576.0,999.0,65.0,1400.0,2.4,576.0,236.0,16.13,41.47,256.0,240
27,Nvidia,TSMC,Tesla 2.0,2,2007,536.5,896.0,GDDR3,448,576.0,999.0,55.0,1400.0,3.0,470.0,800.0,16.13,41.47,256.0,240
28,Nvidia,TSMC,Tesla 2.0,2,2007,673.9,896.0,GDDR3,448,633.0,1134.0,55.0,1400.0,3.0,470.0,800.0,17.72,50.64,256.0,240
29,Nvidia,TSMC,Tesla 2.0,2,2007,622.1,896.0,GDDR3,448,633.0,1134.0,55.0,1400.0,3.0,470.0,800.0,17.72,50.64,256.0,240
30,Nvidia,TSMC,Tesla 2.0,2,2007,622.1,1024.0,GDDR3,512,602.0,1107.0,65.0,1400.0,2.4,576.0,236.0,19.26,48.16,256.0,240
31,Nvidia,TSMC,Tesla 2.0,2,2007,708.5,1024.0,GDDR3,512,648.0,1242.0,55.0,1400.0,3.0,470.0,800.0,20.74,51.84,256.0,240
32,Nvidia,TSMC,Tesla 2.0,2,2007,708.5,1024.0,GDDR3,512,648.0,1242.0,55.0,1400.0,3.0,470.0,800.0,20.74,51.84,256.0,240
33,Nvidia,TSMC,Tesla 2.0,2,2007,708.5,2048.0,GDDR3,512,648.0,1152.0,55.0,1400.0,3.0,470.0,800.0,20.74,51.84,256.0,240
34,Nvidia,TSMC,Tesla 2.0,2,2007,596.2,896.0,GDDR3,448,576.0,999.0,55.0,1400.0,3.0,470.0,800.0,16.13,46.08,256.0,240
35,Nvidia,TSMC,Tesla 2.0,2,2007,596.2,896.0,GDDR3,448,576.0,1008.0,55.0,1400.0,3.0,470.0,800.0,16.13,46.08,256.0,240
36,Nvidia,TSMC,Tesla 2.0,2,2007,44.86,512.0,DDR2,64,589.0,333.0,40.0,260.0,4.6,57.0,50.0,2.356,4.712,32.0,16
